         x          y          z
    -86.21    -177.59       1.00
    -86.21    -164.45       1.00
    -86.17     -75.75       1.00
    -86.17     -62.33       1.00
    -86.16     -88.17       1.00
    -86.16     -74.16       1.00
    -86.14     -86.30       1.00
    -86.14     -31.70       1.00
    -86.05    -175.73       1.00
    -86.05     -86.80       1.00
    -86.04     -67.43       1.00
    -86.04     -65.96       1.00
    -85.98    -170.45       1.00
    -85.98    -120.18       1.00
    -85.96     -88.89       1.00
    -85.96     -27.31       1.00
    -85.96    -177.13       1.00
    -85.96    -164.93       1.00
    -85.90     -63.29       1.00
    -85.90     -47.63       1.00
    -85.89    -179.23       1.00
    -85.89    -172.45       1.00
    -85.87     -78.30       1.00
    -85.87     -72.85       1.00
    -85.82    -150.24       1.00
    -85.82     -56.72       1.00
    -85.77     -73.92       1.00
    -85.77     -64.52       1.00
    -85.76     -66.13       1.00
    -85.76     170.97       1.00
    -85.75    -161.42       1.00
    -85.75    -120.55       1.00
    -85.69     -91.23       1.00
    -85.69     -68.83       1.00
    -85.64     -57.51       1.00
    -85.64     -48.17       1.00
    -85.64    -156.46       1.00
    -85.64     -89.60       1.00
    -85.60     -71.55       1.00
    -85.60     -68.00       1.00
    -85.48    -106.52       1.00
    -85.48     147.08       1.00
    -85.48     -63.96       1.00
    -85.48     128.29       1.00
    -85.45     -76.83       1.00
    -85.45     -57.62       1.00
    -85.42     -89.06       1.00
    -85.42     -60.68       1.00
    -85.39     -73.45       1.00
    -85.39     -70.07       1.00
    -85.39     -96.71       1.00
    -85.39     -66.35       1.00
    -85.38     -71.68       1.00
    -85.38     -56.82       1.00
    -85.36    -178.39       1.00
    -85.36    -153.81       1.00
    -85.33    -173.70       1.00
    -85.33     179.88       1.00
    -85.28     -80.43       1.00
    -85.28     -76.42       1.00
    -85.28    -111.21       1.00
    -85.28     -89.72       1.00
    -85.26     -80.11       1.00
    -85.26     -53.75       1.00
    -85.20     -82.13       1.00
    -85.20     -58.39       1.00
    -85.20     -71.93       1.00
    -85.20     -56.01       1.00
    -85.18     -46.65       1.00
    -85.18     -33.47       1.00
    -85.04     -72.31       1.00
    -85.04     -64.67       1.00
    -85.04    -128.08       1.00
    -85.04     -39.54       1.00
    -85.03     -56.04       1.00
    -85.03     -49.77       1.00
    -84.99    -172.08       1.00
    -84.99     -54.17       1.00
    -84.96     -82.82       1.00
    -84.96     -42.43       1.00
    -84.93     -70.23       1.00
    -84.93     -44.26       1.00
    -84.90    -119.07       1.00
    -84.90     151.68       1.00
    -84.86    -164.16       1.00
    -84.86     159.92       1.00
    -84.86     -48.94       1.00
    -84.86     -40.60       1.00
    -84.83    -167.14       1.00
    -84.83    -148.91       1.00
    -84.81     -87.65       1.00
    -84.81     -53.66       1.00
    -84.78     -91.44       1.00
    -84.78     -88.99       1.00
    -84.78     -77.90       1.00
    -84.78     -43.86       1.00
    -84.77     -76.99       1.00
    -84.77     -49.05       1.00
    -84.73    -150.60       1.00
    -84.73     -66.31       1.00
    -84.69     -79.79       1.00
    -84.69     -34.78       1.00
    -84.67     -70.72       1.00
    -84.67     158.55       1.00
    -84.63     -95.88       1.00
    -84.63     -80.28       1.00
    -84.61    -167.54       1.00
    -84.61     -59.15       1.00
    -84.60    -136.41       1.00
    -84.60     -80.28       1.00
    -84.59     -66.36       1.00
    -84.59     -45.02       1.00
    -84.58     -69.88       1.00
    -84.58     -63.41       1.00
    -84.56     -72.42       1.00
    -84.56     -68.72       1.00
